Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
challenge	1629	6.06	1.06	6.31	1.7	5.62	2.47
champ	682	7.15	2.31	5.85	2.94	7.12	2.05
champagne	1630	7.12	2.19	6.50	2.07	5.56	1.86
champion	67	8.45	0.83	6.29	2.98	6.68	2.6
chance	683	5.72	1.86	5.40	2.55	4.58	2.08
change	1631	4.50	1.7	5.07	2.64	4.21	1.81
chaos	684	3.86	2.53	7.00	2.25	3.73	2.25
character	1632	6.00	2	5.00	1.77	5.47	1.51
charm	68	6.83	1.58	5.00	2.19	5.41	2.4
chase	1633	4.23	1.79	7.08	1.88	3.58	1.51
checkerboard	1634	5.67	1.23	3.07	1.87	5.07	2.02
cheer	69	8.50	0.76	6.30	2.58	6.45	2.09
cheerful	1635	8.62	0.65	7.17	1.95	7.50	1.51
cheerleader	1636	6.23	2.62	5.55	2.88	5.82	2.14
cheese	1637	6.47	2.2	5.93	1.79	5.20	1.78
cheeseburger	1638	7.14	2.28	5.57	2.53	6.86	1.88
chef	1639	7.67	1.61	6.50	2.61	5.92	2.02
chess	1640	5.46	1.05	4.62	1.89	4.92	1.44
chest	1641	5.85	1.34	5.54	1.61	5.15	1.34
chicken	1642	6.80	1.7	5.13	1.85	5.93	1.53
child	70	8.00	1.12	5.35	2.74	4.85	2.37
chimney	1643	5.55	0.69	3.91	1.7	5.00	0
chin	685	5.20	1.11	2.95	1.82	5.10	1.21
chocolate	505	6.96	1.99	5.69	2.41	5.00	1.9
choice	1644	6.88	2.06	5.82	2.43	6.88	2.6
choir	1645	6.50	1.56	4.43	2.71	5.79	1.53
choke	1646	2.00	1.21	6.62	2.47	2.44	1.59
chore	1647	2.42	1.38	4.42	2.91	2.75	2.01
christmas	686	7.96	1.51	6.42	2.52	5.38	2
church	71	6.81	1.94	4.16	2.1	5.20	2.16
cider	1648	6.13	2.1	3.80	2.21	5.47	1.36
cigar	1649	3.46	3.04	4.00	2.42	5.46	2.54
cigarette	1650	2.82	2.09	5.00	2.37	5.00	2.79
cinema	1651	7.80	1.08	5.80	2.31	6.33	1.5
circle	687	6.00	1.27	4.24	2.19	4.90	1.61
circus	72	7.75	2	6.45	2.65	5.70	2.36
city	73	6.26	1.25	5.70	2.74	6.52	1.93
clan	1652	4.75	2.6	5.58	1.73	4.08	2.31
clarinet	1653	5.27	2.28	4.07	1.98	5.40	1.4
class	1654	4.93	1.83	4.73	1.94	5.67	2.29
clause	1655	5.19	2.04	4.50	1.1	4.50	1.1
claw	1656	3.45	1.69	5.18	2.09	4.36	1.12
clay	1657	5.36	1.28	3.86	1.79	6.00	1.88
clean	1658	8.27	0.88	5.67	2.29	8.00	1.2
cleavage	1659	5.36	1.86	4.50	2.5	5.71	2.05
cleft	1660	3.47	1.55	4.00	2.14	4.53	1.92
clench	1661	3.81	0.91	5.75	1.65	3.81	1.38
cliff	553	4.38	1.92	6.62	1.98	3.69	2.19
cliffdiver	1662	5.86	1.92	6.07	2.76	4.86	2.14
climax	1663	7.83	1.53	7.75	2.38	5.00	2.41
cling	1664	4.80	1.26	4.53	1.92	5.33	1.59
clinic	1665	4.77	1.96	5.00	2	3.70	1.83
clock	688	5.45	1.28	4.10	2.77	4.75	2.22
closet	1666	5.50	1.79	5.00	2.08	5.64	1.74
clot	1667	3.00	1.84	4.36	2.41	3.15	1.72
cloth	1668	5.40	1.3	2.93	2.02	5.00	1.57
clothe	1669	6.33	1.84	5.40	1.8	6.00	1.89
clothes	1670	7.77	1.24	6.92	1.44	7.31	1.38
clothing	74	6.88	1.59	5.12	2.86	5.33	2.22
clouds	533	5.96	2.2	3.15	1.91	5.00	1.52
clown	1671	5.46	2.7	6.62	1.61	4.69	2.5
clue	1672	5.79	0.89	5.38	1.04	5.15	1.34
clumsy	689	3.96	2.36	5.46	2.49	3.73	1.85
coach	1673	6.21	1.67	5.64	1.78	4.07	1.44
coarse	690	4.45	1.68	4.14	1.9	4.95	1.56
coast	691	5.92	2	4.42	2.23	5.65	1.7
coax	1674	4.46	1.61	4.62	2.02	4.92	1.85
cocaine	1675	2.31	1.92	4.75	3.11	4.69	3.22
cockpit	1676	5.81	1.42	5.19	2.14	4.19	2.14
cockroach	75	2.38	2.03	6.47	2.81	4.41	2.59
cocoa	1677	7.07	1.49	5.14	2.35	5.64	1.15
cod	1678	4.59	2.03	3.53	2.32	4.88	1.45
coddle	1679	4.73	1.22	4.29	1.44	5.50	1.95
coffin	76	2.41	1.92	5.28	2.79	4.03	2.58
cognition	1680	5.71	1.2	4.50	2.24	5.86	1.23
coin	692	6.30	1.49	4.10	2.22	5.45	1.36
cold	693	4.14	2.08	5.00	2.56	4.73	1.75
colony	1681	5.07	1.16	4.00	2.42	5.13	1.6
color	694	7.00	1.54	4.82	2.63	6.05	1.7
column	695	5.18	0.66	3.55	1.82	4.41	1.37
comedy	77	8.57	0.9	5.61	3.12	5.74	2.09
comet	1682	6.13	2.2	5.67	2.35	4.53	2.36
comfort	696	7.61	1.97	3.74	2.8	5.70	2.08
comfortable	1683	8.69	0.75	4.08	2.96	6.92	2.53
command	1684	4.92	2.33	6.23	2.35	4.38	3.31
